UserID , Age , Gender , VRHeadset , Duration , MotionSickness , ImmersionLevel
1 , 15 , Female , HTC Vive , 28.441145554112907 , 4 , 1
2 , 81 , Male , HTC Vive , 20.42818255551786 , 1 , 1
3 , 77 , Male , HTC Vive , 30.701199707629947 , 3 , 3
4 , 39 , Female , HTC Vive , 11.749765068020405 , 10 , 2
5 , 98 , Male , Oculus Rift , 53.63131729408779 , 6 , 4
6 , 91 , Female , Oculus Rift , 15.143604590903928 , 8 , 3
7 , 22 , Female , Oculus Rift , 18.887330849502185 , 6 , 2
8 , 15 , Female , Oculus Rift , 8.470433556993779 , 8 , 2
9 , 82 , Male , HTC Vive , 46.09843333631066 , 9 , 3
10 , 70 , Female , Oculus Rift , 43.62427926291054 , 1 , 1
11 , 73 , Male , Oculus Rift , 41.66862029307579 , 5 , 3
12 , 80 , Male , PlayStation VR , 31.29789249197868 , 6 , 4
13 , 45 , Male , HTC Vive , 23.918096379927547 , 2 , 4
14 , 10 , Female , Oculus Rift , 13.637761597971448 , 3 , 5
15 , 47 , Female , PlayStation VR , 52.84181399206379 , 9 , 3
16 , 21 , Male , Oculus Rift , 24.608785043837052 , 8 , 4
17 , 68 , Male , Oculus Rift , 25.01589410235748 , 6 , 4
18 , 46 , Female , Oculus Rift , 50.48451977914548 , 2 , 2
19 , 33 , Female , HTC Vive , 48.67916533821994 , 4 , 4
20 , 99 , Male , Oculus Rift , 27.530431138861346 , 4 , 5
21 , 91 , Male , PlayStation VR , 55.8034485776124 , 10 , 5
22 , 76 , Female , Oculus Rift , 15.898344503328103 , 4 , 3
23 , 61 , Female , HTC Vive , 42.81694772883057 , 8 , 2
24 , 87 , Female , HTC Vive , 17.61000688827769 , 5 , 1
25 , 11 , Male , PlayStation VR , 15.31242577796875 , 10 , 2
26 , 67 , Female , PlayStation VR , 10.391877403099533 , 1 , 1
27 , 77 , Female , HTC Vive , 55.259660387729824 , 3 , 4
28 , 20 , Male , HTC Vive , 55.81672819280841 , 1 , 2
29 , 10 , Male , PlayStation VR , 44.62971281313865 , 3 , 1
30 , 61 , Female , PlayStation VR , 33.116446412465464 , 5 , 3
